ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
117,1,,7.96E+017,11/8/2016 22:35:00,,759939776,"Theresa May must reach out to Asia, but be aware its rampant growth won't last forever",http://www.telegraph.co.uk/news/2016/11/08/theresa-may-must-reach-out-to-asia-but-be-aware-its-rampant-grow/?utm_source=dlvr.it&utm_medium=twitter,Jerryfurmanto,,
118,432,Brexit,7.96E+017,11/8/2016 15:23:00,,1872377564,Article 50  case: UKSC formally grants Government permission to appeal and lists case for hearing 5-8 Dec,,Earth_OPS,,
119,887,,7.96E+017,11/8/2016 15:06:00,,918230042,"Dear America,

Good luck on your IQ test today.

Sincerely,
 
Britain, who failed their IQ test with Brexit.
",,saheedakinloye_,,
120,433,"NoWayMay, Brexit, VoteLeave, EUref",7.96E+017,7/11/2016 1:04:00,,296367001,"Ex EU President, Barosso
Now Chairman, Goldman Sachs
On EU democracy
",,SueKeen1,,
121,114,,7.96E+017,11/7/2016 19:02:00,,3133645693,in 100 years some kid is gonna be weighing up Brexit and Trump's presidency as factors in some world disaster in GCSE history for 25 marks,,jorjaashton_,,
122,5,,7.96E+017,11/8/2016 22:19:00,,3660134963,"???VIDEO : Nigel Farage, “It Feels Like Brexit Day in America!” ",http://ln.is/truthfeed.com/video-/DNDf9,JacquelineHuth1,,
123,2,DontBooVOTE,7.96E+017,11/8/2016 13:37:00,,532156362,"If the worst thing that happens today is a smaller chocolate bar, I can cope with that.",https://twitter.com/chrisgiles_/status/795920799454625792,glosswitch,,
124,286,,7.96E+017,11/8/2016 20:19:00,,527398231,"Wissen Sie noch: Der Abend vor dem Brexit? Als wir schlafen gingen und dachten: ""Na ja, aber es gibt eine knappe Mehrheit der Vernünftigen!""",,CtotheMtotheS,,
125,341,,7.96E+017,11/7/2016 13:58:00,7.96E+017,2494349095,It is mere pretence that consent obtained with a lie is real consent.,https://www.theguardian.com/politics/2016/nov/07/brexit-cps-considers-complaint-that-leave-campaigns-misled-voters,beyer_char,,
126,0,ElectionNight,7.96E+017,11/8/2016 22:36:00,,,I like think America won't vote for Trump. But I also liked to think that the UK wouldn't vote for Brexit so who knows?,,J_Brook_,,
127,0,,7.96E+017,11/8/2016 22:36:00,,,"Brexit day in the United States was July 4, 1776 you weapons grade plum. ",https://twitter.com/nigel_farage/status/795997944826699776,RedSox730,,
128,38,Article50Carols,7.96E+017,11/8/2016 19:39:00,,434189695,"o little isle of Brexit doom
how shrill we hear your lies!
beyond your spite &amp; selfish gloom
the EU flags still fly...

",,myrtlevondurtle,,
129,27,,7.96E+017,11/8/2016 18:40:00,,2479596096,The UK's industrial production has fallen since the Brexit vote,http://on.ft.com/2eJkDiz,ChrisGroomb,,
130,1089,,7.96E+017,11/8/2016 18:36:00,,271541890,BITCH WE LEFT OVER 240 YEARS AND 4 MONTHS AGO,https://twitter.com/nigel_farage/status/795997944826699776,KanyesPizzaGuy,,
